"Name","Price","Description","Features","Case Card","Category","Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Manual"
"Mackie 1604 VLZ PRO 16 Channel Audio Mixer w/ AC","50","","","","","","","","","",""
"Schoeps MK 41 Mic Capsule","50","","","","","","","","","",""
"Video 20 Plus Tripod Head","70","","","","","","","","","",""
"100mm Hi Hat","10","The 100mm Hi Hat fits the Sachtler DV12, 18, and 20 heads, all of which have a bowl size of 100mm.  It will not fit the Sachtler 30 or 60 heads, since they have a half-ball size of 150mm.  At only 6 1/2 inches off the ground, the 100mm Hi Hat provides a great amount of support  at an extremely low camera angle.","X",""," Rentals>Tripods & Support","","","","","",""
"18 x 24 Flag Set","15","The 18x24 flag set <BR><BR>A rectangular frame with a mounting pin, made of 3/8 inch thin wall tubing onto which duvetyne, white silk or netting material is sewn. Flags mounted on Century Stands (C-stand) are used to create shadow areas or to soften or diffuse light which helps to control hot spots and create depth of field on the set.<p>                                                                    The 18x24 flag set does wonders for small lighting packages; all this in a light weight cloth carry bag. <BR><BR>Includes: (2) Black flags, (1) Single net, (1) Double net, (1) Silk and a carry bag.<BR> <BR>- Black flags, used to cut and block the amount of light in a scene the two 18x24 flags can be used just as well to add negative fill to a talent or prop.    <BR><BR>- Net flags controls the amount of light that passes through the net.  Depending on the flag placement and distance from the light source you will have better control of your image.<BR><BR>- The Silk flag is a diffusion tool that helps soften the light in scene.","X","","Rentals>Lighting & Grip>Grip Equipment","","","","","",""
"Microforce V+F2 Zoom Control","45","","","","","","","","","",""
"UM 200B Synthesized Belt Pack Wireless Transmitter (Needs External Power)","65","","","","","","","","","",""
"LV 5152D HDTV Digital Waveform Monitor Vectorscope","275","","","","","","","","","",""
"150mm Hi Hat","10","The 150mm Hi Hat fits the Sachtler 30 and 60 heads, all of which have a bowl size of 100mm.  It will not fit the Sachtler DV12, 18, and 20 heads, since they have a half-ball size of 100mm.  At only 7 inches tall, the 150mm Hi Hat provides a great amount of support  at an extremely low camera angle.","X","","Rentals>Tripods & Support>Legs and Miscellaneous","","","","","",""
"Bogen Professional Monopod","10","","","","","","","","","",""
"Lectrosonics IFB Transmitter","75","","","","","","","","","",""
"Motorola Radius CP200 Walkie Talkie","15","","","","Rentals> Audio>Communications","","","","","",""
"Sound Devices 302 3 Channel Audio Mixer","40","A three input, two output audio field mixer that is extremely light (less than 2lbs with batteries) and compact.<br>The 302 was designed to be easily used anywhere in the field. Powered by three AA batteries, the 302 provides excellent sound quality has simple-to-use controls which are not hidden.  Set up for many different combination of mic or line inputs or outputs plus phantom powering of mic options can be done through the set-up menus rather than tiny dip switches.  The LED metering is bright and easy to read even in sunlight and the sound quality is excellent.<br><br>Features also include:<br>- Daylight bright LED metering<br>- 48v/12v/T phantom powering<br>- Mic/line options on all inputs and outputs<br>- Solo channel monitoring in headphones<br>- Return input for monitoring<br>","*Daylight bright LED metering*48v/12v/T phantom powering*Mic/line options on all inputs and outputs*Solo channel monitoring in headphones*Return input for monitoring","","Rentals>Audio>Mixers","","","","","",""
"24 x 36 Flag Set","22","Set consists of: <br>- (2) 24"" x 36"" Floppy flag cutters<br>- 24"" x 36"" Double net<br>- 24"" x 36"" Single net<br>- 24"" x 36"" Silk<p>The above kit allows the user to subtlely control both light quality, quantity and pattern, producing a professional lighting set up with these extremely low-cost accessories.","X","","Rentals>Lighting & Grip>Grip Equipment","","","","","",""
"48x48 Top Hinge Floppy Flags","12","Set consists of two 4' x 4' floppy flag cutters.  Each flag cutter is made of two 4' x 2' flags hinged along one of their 4' sides.  This enables the user to need only one C stand to mount a hinged device that very efficiently cuts down extraneous light. <br>A very useful piece of grip gear for small locations and talking head interview shoots.","X","","Rentals>Lighting & Grip>Grip Equipment","","","","","",""
"Lectrosonics IFB Receiver","","","","","","","","","","",""
"Panasonic BT LH900P 8.4 inch LCD HD/SD Monitor","","","","","","","","","","",""
"HME Pro 850 Wireless Intercom System TX Base ","","","","","","","","","","",""
"QTV LCD Exec. Speech Prompter Base","325","","","","","","","","","",""
"Panasonic AJ EC3 Paintbox Controller","50","The AJ-EC3 Extension Control Unit features high performance and a variety of functions for supporting DVCPRO, DVCPRO50 and DVCPRO HD camera recorders.<P>The unit features the following functions:<BR><BR>- DETAIL, GAMMA, KNEE SLOPE and KNEE POINT picture quality adjustment functions .<BR><BR>- GAIN, IRIS and FILTER position settings now displayed on a 7-segment LED.<BR><BR>- S.S and S.V positions added to SHUTTER switch area. Synchro-scan settings performed using SETUP dial.<BR><BR>- PAINTING (R/B GAIN, R/B BLACK) ENABLE function.<BR><BR>- LEDs for ABB/AWB OK/NG displays.<BR><BR>- Rotary encoder to select the SETUP menus.","*DETAIL, GAMMA, KNEE SLOPE and KNEE POINT picture quality adjustment functions . *GAIN, IRIS and FILTER position settings now displayed on a 7-segment LED. *S.S and S.V positions added to SHUTTER switch area. Synchro-scan settings performed using SETUP dial. *PAINTING (R/B GAIN, R/B BLACK) ENABLE function. *LEDs for ABB/AWB OK/NG displays. *Rotary encoder to select the SETUP menus.","","Rentals>Cameras>Accessories","","","","","",""
"UH 400A Wireless Cube Transmitter","75","","","","","","","","","",""
"Sound Devices 744T Portable Compact Flash Audio Recorder","95","The high-resolution 744T audio recorder is the next generation recorder replacing digital and analog tape-based portable recorders with far more powerful file-based digital recording devices. The four-track 744T writes and plays audio files with either 16 or 24-bit depth at all professional sample rates, up to 192 kHz.<P>The 744T writes to industry-standard WAV files and BWF files. Audio data files are recorded to the internal 40 GB hard drive or to user-supplied Compact Flash medium. For maximum redundancy, both mediums can be activated, providing a RAID-1 level of redundancy to recorded program. Audio files can be transferred via FireWire directly to a Windows PC or Mac OS computer for post-production or archiving.<P><B>Features Include:</B><BR><BR>* Two-channels of Sound Devices next generation microphone preamps with phantom, limiters, and high-pass filters<BR>* Input-to-track assignment with 256 possible routing combinations <BR>* Records to internal 40 GB hard drive, removable Compact Flash, or both storage medium<BR>* AES3 (XLR) or AES3id (unbalanced AES on BNC) digital inputs and AES3id outputs<BR>* Programmable, sunlight-viewable LED level metering<BR>* WAV or BWF format, mono or poly files, uncompressed PCM audio<BR>* 24-bit or 16-bit (with or without dither) and sampling at 32 kHz-192 kHz<BR>* Ultra-stable Ambient time code circuitry, tuneable to <0.2 PPM accuracy with all relevant TC rates<BR>* MP3 encode and decode, 32 to 320 kb/s stereo file<BR>* FireWire (IEEE-1394) port for high-speed data transfer to computers<BR>* Removable Li-on rechargeable battery compatible with Sony M- and L-mount Li-on batteries","* Two-channels of Sound Devices next generation microphone preamps with phantom, limiters, and high-pass filters * Input-to-track assignment with 256 possible routing combinations * Records to internal 40 GB hard drive, removable Compact Flash, or both storage medium * AES3 (XLR) or AES3id (unbalanced AES on BNC) digital inputs and AES3id outputs * Programmable, sunlight-viewable LED level metering * WAV or BWF format, mono or poly files, uncompressed PCM audio * 24-bit or 16-bit (with or without dither) and sampling at 32 kHz-192 kHz * Ultra-stable Ambient time code circuitry, tuneable to <0.2 PPM accuracy with all relevant TC rates * MP3 encode and decode, 32 to 320 kb/s stereo file * FireWire (IEEE-1394) port for high-speed data transfer to computers * Removable Li-on rechargeable battery compatible with Sony M- and L-mount Li-on batteries","","Rentals>Audio>Recorders","","","","","",""
"Spider Pod","50","","","","","","","","","",""
"AWS G500 Anycast Station Live Content Producer Switcher","350","The AWS-G500 provides a comprehensive set of AV and IT inputs, which include HD-SDI, SD-SDI, Analog HD, Analog Composite, S-video, DV, and Balanced Audio as well as computer RGB inputs. Different input options can be configured by us to your specific needs. The unique processing of the Anycast Station system allows live switching between these video and computer sources including switching between HD and SD sources without the use of external line converters or degradation in picture quality.<P>The Anycast Station comes equipped with a video switcher, audio mixer, an LCD display, and camera control functions, all packed into a compact attache case design. This approach eliminates any external wiring and cumbersome signal adjustments, making setup extremely easy and quick. On the large LCD screen, there are two windows for monitoring the program and preview outputs, together with seven windows to view each individual input source plus one internal still picture source, eliminating the need for many picture monitors. These factors make the Anycast Station a powerful device for producing live events, virtually anywhere and with a minimum production crew and without having to rent additional equipment such as monitors and audio mixers.<P>Standard pricing includes any standard definition configuration. HD options can be included for a small additional charge.","All-in-one design The Anycast Station comes equipped with a video switcher, audio mixer, an LCD display, and camera control functions, all packed into a compact attach√Ø¬ø¬Ω case design. This approach eliminates any external wiring and cumbersome signal adjustments, making setup extremely easy and quick. On the large LCD screen, there are two windows for monitoring the program and preview outputs, together with seven windows to view each individual input source plus one internal still picture source, eliminating the need for many picture monitors. These factors make the Anycast Station a powerful device for producing live events, virtually anywhere and with a minimum production crew. Easy and integrated operation The Anycast Station makes live event programming as simple as possible. This is because the Anycast Station requires very little or no technical knowledge of switcher and mixer setup and operations due to its extremely straightforward and intuitive control surface. the Anycast Station combines creative power and ease of operation in one integrated production system. Seamless switching between video and PC sources The Anycast Station allows live switching between a variety of signal sources - from standard definition video (Analog composite, S-Video, DV, and optional SDI), to High Definition sources (1080i & 720p), to PC images with various resolutions. Two important features make this possible - the sophisticated built-in line converters and the high-resolution internal processing. Additionally, the program can be output from a variety of interfaces including the standard analog composite, S-Video, DV, and optionally SDI using the BKAW-580 for video, or High Definition analog component outputs of either 1080i or 720p using the optional BKAW-560 interface module, and D-Sub 15-pin outputs for projectors and large screen displays. Multi-format combinations SD (NTSC or PAL), HD (1080i or 720p), PC RGB (XGA and SXGA) signals, can all be mixed together and output as SD (NTSC or PAL), HD (1080i or 720p), and Video or PC RGB (XGA or SXGA) signal. Flexible video input configurations The Anycast Station offers the following video and PC inputs. These are provided as interface modules installed in the slots of its rear panel:Primary inputs 1 to 4: Analog composite, S-Video, DV Primary inputs 5 to 6: RGB (VGA, XGA, SXGA)Should a different input configuration be required, the interface modules are also provided as optional accessories, allowing users to configure the system exactly as required. What's more, the Anycast Station allows each input on these modules to be assigned to any one of the primary inputs via simple menu settings. Multi-camera ISO recording for use as a nonlinear editing source During a live event, each signal source supplied to the Anycast Station's primary inputs can be recorded to external hard disk drive. The Anycast Station allows synchronized recording of two primary input sources (per video interface board) to a third-party IEEE1394-interface-equipped hard disk drive connected to its rear panel. This means that with only two hard disk drives, 4 primary inputs can be recorded. After the event, connecting these hard disk drives to an IEEE1394-equipped compatible nonlinear editor allows editing to start very quickly, with the benefits of using hard drive storage to feed the source material. Streaming Encoder and Streaming Server The Anycast Station provides a built-in Streaming Encoder and a Streaming Server. The Streaming Encoder function allows the high-quality program output of the Anycast Station to be streamed in real-time - with minimum degradation and through very simple procedures - for distribution over the Internet, LANs, or private lines. When the number of clients is relatively small, the built-in Streaming Server function allows the streamed video to be distributed right from the Anycast Station without the need of an external streaming server connection.","","Rentals>Routers & Switchers>Production switchers","","","","","",""
"Sound Devices 442 4 Channel Audio Mixer","45","The Sound Devices 442 stereo field mixer encompasses the audio performance, feature set, and mechanical construction expected by those who rely on audio gear for their livelihood. <P>With its comprehensive inputs and extensive outputs, including direct outputs per channel, the 442 is at home in small run-and-gun applications as well as large, multiple-source productions.  The Sound Devices 442 can be powered by four AA batteries or external 5 - 18 VDC.<P><B>Features Include:</B><UL><LI>Lundahl transformer-balanced mic or line-level inputs on XLR connectors<LI>Transformer-balanced line/tape/mic level output on XLR connectors<LI>Continuously adjustable input trim<LI>Variable high-pass filter<LI>Continuously variable pan control<LI>Phantom (48-volt or 15-volt) or ""T"" microphone powering selected per channel<LI>Solo (PFL) channel monitoring in headphones<LI>Peak limiters per channel<LI>Direct outputs on TA3 locking connectors<LI>Transformer-balanced line/tape/mic level output on Hirose connector<LI>Balanced line or tape level output on TA3 locking connectors<LI>Un-balanced TRS-stereo tape level output on 1/8-inch connector<LI>Un-balanced TS-mono mic level output on 1/8-inch connector<LI>Sunlight-viewable LED meters with proprietary software-selected ballistics<LI>On-board MS stereo matrix, channels 1 and 2<LI>Two independent monitor return inputs for monitoring two-camera productions</UL>","*Lundahl transformer-balanced mic or line-level inputs on XLR connectors*Transformer-balanced line/tape/mic level output on XLR connectors*Continuously adjustable input trim*Variable high-pass filter*Continuously variable pan control*Phantom (48-volt or 15-volt) or ""T"" microphone powering selected per channel*Solo (PFL) channel monitoring in headphones*Peak limiters per channel*Direct outputs on TA3 locking connectors*Transformer-balanced line/tape/mic level output on Hirose connector*Balanced line or tape level output on TA3 locking connectors*Un-balanced TRS-stereo tape level output on 1/8-inch connector*Un-balanced TS-mono mic level output on 1/8-inch connector*Sunlight-viewable LED meters with proprietary software-selected ballistics*On-board MS stereo matrix, channels 1 and 2*Two independent monitor return inputs for monitoring two-camera productions","","Rentals>Audio>Mixers","","","","","",""
"Panasonic AJ RC10G Remote Paintbox Control Unit","95","The AJ-RC10 is an advanced remote control unit designed for use with Panasonic's 300Studio and P2Studio camcorder studio systems. An upgrade to the AG-EC4GPJ Extension Control Unit, the AJ-RC10 offers enhanced controls of each system's base station, along with an extended range of up to 90 meters (295 feet) with optional cables. With its ""one button per function"" capability, the unit lets you see exactly which menus you're using without needing to access the camera's menu system. It also includes an SD card slot for saving scene files, as well as a Monitor Out for viewing.","Control Functions Include:• gain up/down• output camera/bar selection (linked to auto knee)• white balance A/B/Preset selection• AWB/ABB execution• shutter SS/Fix/Off selection and speed setting• iris auto/manual selection and adjustment• master pedestal• painting• camera menu settings• recorder operation (Rec/Play/FF/Rew/Rec check)• scene files• Dedicated switches are provided for direct operation of some of the camera unit's frequently used functions.• By switching to the recorder mode, the camcorder can be controlled directly through the VTR operation switch. Recording can also be disabled using a switch.• Frequently used menus can be set by accessing the menus on the LCD panel of the unit. It is also possible to display the time code on the LCD panel.• Downconverted images with characters are output from the VIDEO OUT connector. The menus can be operated on the main unit of the camcorder by connecting the external monitor.• Scene file data can be stored on an SD memory card.","X","Camera Accesory ","Panasonic AJ RC10G Remote Paintbox Control Unit.1.jpg","Panasonic AJ RC10G Remote Paintbox Control Unit.2.jpg","","","","Panasonic AJ RC10G Remote Paintbox Control Unit.manual.pdf"
"Denecke TS-C Timecode Slate","50","The Denecke TS-C is a compact full featured smart slate, capable of reading, generating and displaying SMPTE/EBU time code. Its new compact size makes the TS-C ideal for documentary work, insert shots, or anywhere a big slate is too cumbersome. <p>The TS-C jams to all standard frame rates, including 23.976 for HD. The TS-C reads and displays off speed time code used in special situations such as music video playback. The time code reader mode works with both ascending and descending time code.  The TS-C is the first Denecke product to support Aaton serial communication! The precision TCXO combined with a 16 BIT microprocessor ensure extremely low drift and high accuracy. The standard EL backlit face plate is helpful in low light situations. The new Denecke TS-C compact slate is affordably priced. Your choice of black and white or color clapper sticks.","X","","Rentals>Production Gear>Miscellaneous ","","","","","",""
"Countryman B6","","Only one tenth of an inch in diameter, the B6 is the smallest lavalier in the world and outperforms microphones many times its size. With exceptionally low handling noise and rugged construction, the B6 is the ideal choice for theater, broadcast, churches, and general lavalier applications. ","X","","Rentals>Audio>Microphones-Lavalier","","","","","",""
"Audio Technica AT87SR Short Shotgun Mic","15","Audio-Technica’s AT875R is designed for video production and broadcast (ENG/EFP) audio acquisition. Audio-Technica’s shortest shotgun microphone, it mounts conveniently on a DV camcorder without adding noticeable heft, and is ideal for use with compact digital cameras. This high-performance microphone offers a narrow acceptance angle of line + gradient design. It also features smooth, natural-sounding on-axis audio quality and excellent off-axis rejection of sound arriving from the sides and rear of mic.","Designed for video production and broadcast (ENG/EFP) audio acquisitionExtremely short length (under 7"") ideal for use with compact digital camerasProvides the narrow acceptance angle desirable for long-distance sound pickupExcellent sound rejection from the sides and rear of micTailored response minimizes camera and handling noiseOperates on phantom power onlyRoHS compliant—free from all substances specified in the EU directive on hazardous substances","","Rentals>Audio>Microphones-Shotgun","","","","","",""
"Cinetape System","125","Measuring distance just became easier with the Cinematography Electronics CINE TAPE MEASURE System. This versatile ultrasonic system continuously calculates the distance between a subject and the camera's film-plane. By continuously measuring distance during a shot, small or subtle subject movements are no longer a problem. With non-stop measurements, focusing a camera lens is simplified which saves time, avoids retakes and reduces production costs.<p>The main components of our system are the CINE TAPE MEASURE CONTROL and the SENSOR ASSEMBLY. The control displays accurate distance measurements from the constant stream of data that is received by the sensors.<p>The CINE TAPE MEASURE System is a small, rugged, lightweight, and quiet ultrasonic range finder. It is compatible with all lenses, film cameras and video cameras. In addition, our system is easy to set up and use, making it the first choice of professional filmmakers.<p>","<p><b>Cine Tape Measure Control</b><br>The stylish Cinematography Electronics CINE TAPE MEASURE CONTROL is the brain of the system. It continuously computes the distance between the camera's film plane and the subject. A simple one-time Film-Plane offset adjustment programs the relationship of the film plane to the sensor position. When the control detects a subject, the green Sense LED glows and the calculated distance is shown on the LED display in either feet-inches or meters-centimeters. Adjustable brightness levels for the large red LED display offers comfortable viewing under different lighting conditions. The digital Sensitivity adjustment feature fine-tunes the system range, which is also helpful with different subject reflectivity. The Close Focus feature sets the minimum sense distance. Objects within this area are disregarded. All of the functions are set and stored digitally, which safeguards against accidental changes and provides accurate repeatability between units.<p><b>Sensor Assembly</b><br>The innovative Cinematography Electronics SENSOR ASSEMBLY consists of two small cone-shaped ""horns,"" a miniature pan tilt mechanism, a mounting stud, and an electrical connector. The horns send and receive ultrasonic signals that are used to calculate the distance measurement. Mounting the SENSOR ASSEMBLY onto a camera package is simple with the combo stud. With its pan and tilt adjust/lock knobs, aiming the horns towards the subject is quick and straightforward. The SENSOR ASSEMBLY interfaces to the control via a short detachable Sensor Cable. A spring-loaded holder permits laser pens to be attached parallel to the sensors, providing a visual reference during calibration.","","2 categories:  1)  Rentals>Cameras>Accessories and 2) Rentals>Production Gear>Miscellaneous","","","","","",""
"Arri 24mm Macro Prime Lens","85","T2.1 with Minimum Focus at 6.5 inches","X","","Lenses","","","","","",""
"Arri 32mm Macro Prime Lens","85","T2.1 with Minimum Focus at 7.5 inches","X","","Lenses","","","","","",""
"Arri 60mm Macro Prime Lens","85","T3.0 with Minimum Focus at 11 inches","X","","Lenses","","","","","",""
"Bartech Analog Wireless Follow Focus System","125","The BFD exceeds the performance of the old standards (Seitz, WRC-4) at a fraction of the price. Its compatibility with existing motors (Heden, ZB/SLD, FMG-6) allows the use of readily available used equipment as well as the new M-One motor. Its modular approach and interchangeable components allow you to start simple and build your way up to a full featured system, while providing back-ups in case of equipment failure.<p><b>Features:</b><ul><li>900 MHz Data Transmission, 8 Selectable Sub-channels<li>9Rotary Style Control Module That Can Lock Together to Other Units For Multichannel Operation <li>9Interchangeable 1 Channel Receiver/Amplifier Modules, each with Remote Camera Run Outputs<li>912-bit Resolution with All 12-bits Always Available (A First!)<li>9Fast, Simple One-Pass Manual Lens Calibration<li>9Control Modules Powered by an Inexpensive 9V Battery (18 hours of operation)<li>9Direct Potentiometer Input to Receiver/Amp for Servo-type Operation, or Direct <li>9Connect Transmitter to Receiver (Hard Wire)<li>9Automatic Standby Battery Saver Mode & Low Battery Indicator<li>9Automatic Motor Shut Down to Save Power</ul>","900 MHz Data Transmission, 8 Selectable Sub-channels9Rotary Style Control Module That Can Lock Together to Other Units For Multichannel Operation9Interchangeable 1 Channel Receiver/Amplifier Modules, each with Remote Camera Run Outputs912-bit Resolution with All 12-bits Always Available (A First!)9Fast, Simple One-Pass Manual Lens Calibration9Control Modules Powered by an Inexpensive 9V Battery (18 hours of operation)9Direct Potentiometer Input to Receiver/Amp for Servo-type Operation, or Direct9Connect Transmitter to Receiver (Hard Wire)9Automatic Standby Battery Saver Mode & Low Battery Indicator9Automatic Motor Shut Down to Save Power","","Rentals>Lenses>Accessories","","","","","",""
"Arriflex LMB-3 4X4 Clip On Mattebox","20","The light weight matte box LMB-3 includes 2 4x4 push-through filter frames and attached directly to the front diameter of the lens. ","X","","2 Categories 1) Rentals>Lenses>Accessories2)Rentals>Matteboxes>Clip-On","","","","","",""
"Arriflex LMB-5 4X5 Clip On Mattebox","40","The leightweight matte box LMB-5 is equipped with two push-through 4"" x 5.65"" filter frames as well as with attachments for a light shield. The matte box is attached directly to the front ring of the lens with a clamp adapter of appropriate diameter.<p>The slip-on carbon fiber light shield is lightweight and compact and can always stay in place. During breaks in shooting or when transporting a completely set-up camera, the light shield can be folded flat against the front of the matte box to protect the filters or the front element of the lens.","X","","","","","","","",""
"6X6 Blackout Tent","75","Village Blackout gives you a dark workspace when working on location with HD equipment or digital still photography.","X","X","Production Gear","6X6 Blackout Tent.1.jpg","","","","",""
"Mitchell Base Hi Hat","10","?","X","","Rentals>Tripods & Support>Legs and Miscellaneous","","","","","",""
"Mitchell Base Lo Hat","10","?","X","","Rentals>Tripods & Support>Legs and Miscellaneous","","","","","",""
"Arriflex MB-18 4X5 Studio Mattebox","75","4""x5.65"" Production Matte Box MB-18 is a flexible wide-angle studio Matte Box that can be used with primes and many zoom Lenses. It is a useful alternative to MB-14 when a smaller build is desired. MB-18 requires a studio bridge plate.","• Filter size 4""x5.65""/ round 138mm• Flexible mattebox offering coverage for wider primes and some zooms.• Requires studio bridge plate or ARRI HD baseplate.","X","Lenses; Matteboxes","Arriflex MB-18 4X5 Studio Mattebox.1.jpg","Arriflex MB-18 4X5 Studio Mattebox.2.jpg","","","",""
"Arriflex LFD Hand Held Follow Focus","75","The lightweight Focus Drive LFD is a compact unit for use with 35 and 16mm cameras, as well as with zoom lenses on 16mm cameras. With various brackets, the LFD can be attached directly to the 35mm cameras or used on the lightweight support of the 16SR.<ul><li>Lightweight, modular follow focus<li>Fits 15mm lightweight rods<li>Includes marking disk</ul>","X","","2 categories 1) Rentals>Lenses>Accessories and 2)Rentals>Cameras>Accessories","","","","","",""
"Ronford Mitchell Base Standard Legs","20","","X","","Rentals>Tripods & Support>Legs and Miscellaneous","","","","","",""
"Canon EF 24-70mm Still Photo Zoom Lens","25","This lens replaces the previous high quality L-series 28-70mm f/2.8 lens, with a lens of even greater caliber. The range has been extended to cover an ultra-wide angle of 24mm, which makes it ideal for digital as well as film shooters, and the optics are even better than before with two Aspherical elements and a totally new UD glass element. It's now sealed and gasketed against dust and moisture, and a new processing unit makes the AF faster than ever.Internal FocusingThe internal focusing mechanism allows the front of the lens to remain stationary and to easily accommodate specialty filters, such as polarizing filters.Two Aspherical ElementsA lens design incorporating elements ground so the curve of the surface does not describe an arc of a circle. Especially useful in reducing distortion in wide angle lenses.UD ElementUD glass is one of the new technologies to open new possibilities to develop the zoom lenses with low weight and high optical performance. UD elements make it possible to correct chromatic aberrations whilst maintaining low weight.","SEEM TO BE WITHIN THE OVERVIEW","","Lenses","","","","","",""
"Canon EF 35mm Prime Lens","20","L-series professional f/1.4 wide-angle lens with an Aspherical lens element to correct aberrations. The floating system enables high picture quality to be obtained over the entire focusing range. Autofocusing is quick and quiet with rear focusing and ring USM. Full-time manual focusing is also possible.","X","","Lens - 35mm Prime","","","","","",""
"Canon EF 24mm Prime Lens","20","Canon's newest fixed length L-series lens, the EF 24mm f/1.4L II USM, incorporates the newest in Canon lens technology for spectacular sharpness and impressive performance at all settings. It features two high-precision, large-diameter aspherical lenses for sharpness across the sensor, even in peripheral areas of full-frame sensors. Lens elements have a newly-designed anti-reflective SWC (Sub Wavelength Coating) that departs from conventional coatings by using an extremely fine structure that minimizes ghosting and flaring across the lens surface, regardless of the angle with which light enters or exits. It also features two UD lens elements to minimize chromatic aberrations, incorporates rear-focusing, ultrasonic, quiet and high-speed AF with full-time manual override. A circular aperture provides beautiful out-of-focus detail and offers legendary dust- and water-resistant L-series construction using only lead-free glass.","X","","Lens - 35mm Prime","","","","","",""
"Canon EF 50mm Prime Lens","20","The EF 50mm f/1.2L USM Lens  is a fast prime lens featuring a particularly large maximum aperture for effective low-light and shallow depth of field capability. As a standard focal length lens, it is suitable for most any shooting situation and its lens coating and optical construction are optimized to minimize chromatic aberrations, ghosting and flare. A truly circular diaphragm results in pleasing out-of-focus areas.An ultrasonic autofocus motor (USM) provides fast, smooth and quiet autofocus action and manual focus override allows for precise manual focusing even in AF mode. With a tight seal structure and the addition of the optional Canon protect filter, the 50mm f/1.2L lens is moisture and dust proof.","X","","Lenses","","","","","",""
"Canon EF 85mm Prime Lens","20","Retaining the impressive optical performance and large aperture of the original EF 85mm f/1.2L USM, this new medium telephoto lens uses a Ring-type USM, high-speed CPU and optimized algorithms to achieve an autofocus speed approximately 1.8x faster than the original. The high-speed AF and circular aperture create a shallow depth-of-field that brings attention to the subject and blurs the background, which is ideal for portraits and weddings. The floating optical system, which includes an aspherical lens element, suppresses aberrations and ensures excellent imaging performance.","X","","Lenses","","","","","",""
"Canon EF 135mm Prime Lens","20","The fastest 135mm telephoto lens in its class. Ideal for indoor sports and portraits with background blur. Two UD-glass elements correct secondary spectrum for outstanding sharpness and color. Compatible with Extender EF 1.4x II and 2x II.","X","","Rentals>Lenses>35mm Still Prime","","","","","",""
"Canon EF 14mm Prime Lens","20","Ultra-wide angle lenses have always been in demand by architectural, corporate, and other top pro photographers. This new lens features completely redesigned optics including 2 high-precision Aspherical elements and two totally new UD-glass elements. The result is superior image quality: better contrast and sharpness at the outer edges, and a reduction in chromatic aberrations that can sometimes be seen with high-resolution digital SLRs. Its diagonal angle of view is an impressive 114°-anything larger would be a Fisheye lens. It has a built-in lens hood, and has been dust- and moisture- proofed. The lens uses a rear focusing system, high-speed CPU, and a powerful ring-type USM with revised electronics for faster, more responsive AF. This lens continues the proud tradition of superior clarity optics found in L-series Canon lenses.","X","","Lenses","","","","","",""
"Canon EF 200mm Prime Lens","20","Telephoto lens boasting high image quality and carrying ease. With two UD-glass elements and rear focusing to correct aberrations, image delineation is extremely sharp. Background blur is also natural-looking, as was simulated by Canon. The lens comes with a dedicated, detachable hood.","X","","Rentals>Lenses>35mm Still Prime","","","","","",""
"Canon EF 70-200mm IS II Still Photo Zoom Lens","42","The EF 70-200mm f/2.8L IS II USM increases the speed, performance and optical quality of the EF 70-200 f/2.8L IS USM while maintaining all of the characteristics that have made it a legend for professionals and advanced amateurs alike.<p>                                                    The EF 70-200mm f/2.8L IS II USM features one fluorite and five UD elements for increased optical quality and reduced chromatic aberration. It has a minimum focusing distance of 1.2m/3.9 ft. at all zoom settings, which is useful for photographers in smaller spaces trying to get closer to a subject.<p>                                                 It features a next-generation Optical Image Stabilizer, providing up to 4 stops of correction at all focal lengths. And as with all L-series lenses, the EF 70-200mm f/2.8L IS II USM is dust- and moisture-resistant and designed for use in the challenging environments typical of rigorous professional use.","X","","Rentals>Lenses>35mm Still Zoom","","","","","",""
"Canon 7D EF-S 10-22mm Still Photo Zoom Lens ","20","Three Aspherical lens elements, plus a Super-UD element, assure image quality. Its ring-type USM means fast and silent AF along with full-time manual focus. It focuses as close as 9.5 inches.The Canon EF-S 10-22mm f/3.5-4.5 USM is an ultra wide-angle zoom lens with dynamic expressive capability for all EF-S mount digital EOS cameras, exceptionally small and lightweight for maximum mobility.With an effective focal length range of approximately 16-35mm in 35mm format, this lens allows you to get extremely close to subjects, exaggerating the difference in size between a near object and its background. Creative photographers can use this phenomenon to create excellent separation between subject and background for a strong sense of presence, or for a pan-focus effect with everything from foreground to background sharply in focus.Designed specifically for digital photography, the lens has specially shaped lens elements and Super Spectra coatings to suppress ghosting and flare, which can be caused by reflections off digital camera sensors. An exclusive optional lens hood can further reduce the incidence of flare.Note: Not suitable for 35mm film SLR cameras or digital camera with image sensor bigger than APS-C size,.","X","X","Lenses","Canon 7D EF-S 10-22mm Still Photo Zoom Lens.1.jpg","Canon 7D EF-S 10-22mm Still Photo Zoom Lens.2.jpg","","","","Canon 7D EF-S 10-22mm Still Photo Zoom Lens.manual .pdf"
